crash_date,district,zone,crash_occurred_on,type_of_roadway,road_surface,weather_condition,lighting_condition,injury,fatality,hit_and_run,pedestrian_involved,train_involved,intersection,total_vehicles,vehicle_alignment,relation_to_roadway,manner_of_collision,primary_factor,secondary_factor,latitude,longitude,day_of_week,crash_month
2025-09-19,10,Other,interstate,one-way road,dry,clear,dark - not lighted,1,0,1,0,0,False,2,straight,on roadway,Sideswipe,violations,movement prior to crash,30.4780148602965,-91.1670789222176,friday,9
2025-09-18,11,3c-3,city street,two-way road with a physical barrier,dry,clear,daylight,1,0,0,0,0,True,2,straight,on roadway,Rear-End,violations,movement prior to crash,30.415449915386,-91.0625690427136,thursday,9
2025-09-18,8,3e-2,city street,two-way road with a physical barrier,dry,clear,daylight,1,0,0,0,0,True,2,straight,on roadway,Angle,violations,movement prior to crash,30.4292759865996,-91.0562970041275,thursday,9
2025-09-18,8,3f-3,city street,two-way road with a physical barrier,dry,clear,daylight,1,0,0,0,0,False,2,straight,on roadway,Angle,violations,movement prior to crash,30.4107951431362,-91.0514458003116,thursday,9
2025-09-18,9,3f-1,city street,two-way road with a physical barrier,dry,clear,daylight,1,0,0,0,0,False,2,straight,on roadway,Rear-End,violations,movement prior to crash,30.4271688048613,-91.0074924618395,thursday,9
2025-09-18,11,3g-3,us highway,two-way road with a physical barrier,dry,clear,daylight,1,0,0,0,0,False,2,straight,on roadway,Sideswipe,violations,movement prior to crash,30.4333759400174,-91.0820633733442,thursday,9
2025-09-18,8,3f-1,interstate,two-way road with a physical barrier,dry,clear,daylight,1,0,0,0,0,False,2,straight,on roadway,Rear-End,violations,movement prior to crash,30.4418861247851,-91.0101200950829,thursday,9
2025-09-18,10,1a-1,interstate,one-way road,dry,clear,daylight,1,0,1,0,0,False,2,straight,on roadway,Sideswipe,violations,violations,30.4457331227356,-91.179280560472,thursday,9
2025-09-18,10,1b-1,state highway,two-way road with no physical separation,dry,clear,dark - unknown lighting,1,0,0,0,0,True,2,straight,on roadway,Angle,violations,movement prior to crash,30.4450254317567,-91.1657856360073,thursday,9
2025-09-18,10,2c-3,state highway,two-way road with a physical barrier,dry,clear,daylight,1,0,0,0,0,False,2,straight,on roadway,Sideswipe,violations,driver condition,30.3884240773647,-91.1719172819981,thursday,9
2025-09-17,7,2a-2,city street,two-way road with no physical separation,dry,clear,daylight,0,0,0,0,0,True,2,straight,on roadway,Angle,violations,driver condition,30.4362299109204,-91.1526241581094,wednesday,9
2025-09-17,12,Other,city street,two-way road with no physical separation,dry,clear,daylight,1,0,0,0,0,True,2,straight,on roadway,Angle,violations,driver condition,30.4366855042463,-91.1666869868101,wednesday,9
2025-09-17,12,2b-2,city street,two-way road with no physical separation,dry,clear,dawn/dusk,0,0,0,0,0,False,4,straight,on roadway,Sideswipe,violations,movement prior to crash,30.4169131723829,-91.1429770378848,wednesday,9
2025-09-17,10,1b-1,city street,two-way road with no physical separation,dry,clear,daylight,1,0,1,0,0,True,2,straight,on roadway,Angle,violations,movement prior to crash,30.4552517692149,-91.1673554137537,wednesday,9
2025-09-16,6,3c-2,us highway,two-way road with physical separation,dry,cloudy,daylight,1,0,0,0,0,False,2,straight,on roadway,Rear-End,violations,movement prior to crash,30.4362288018649,-91.0838998462429,tuesday,9
2025-09-16,7,1c-1,city street,one-way road,dry,clear,daylight,1,0,0,0,0,False,3,straight,on roadway,Rear-End,violations,movement prior to crash,30.4455599730321,-91.1358490799006,tuesday,9
2025-09-16,7,2b-2,off road/private property,two-way road with no physical separation,unknown,unknown,unknown,1,0,0,0,0,False,2,straight,"off roadway, location unknown",Single Vehicle / Non-Collision,violations,not applicable,30.4214282713235,-91.1341866614074,tuesday,9
2025-09-16,7,2b-1,city street,two-way road with no physical separation,dry,clear,daylight,1,0,1,0,0,False,2,straight,on roadway,Rear-End,violations,driver condition,30.4271387369561,-91.1372041472192,tuesday,9
2025-09-16,10,Other,interstate,one-way road,dry,clear,daylight,1,0,0,0,0,False,2,straight,on roadway,Rear-End,violations,violations,30.4578915708227,-91.169138934144,tuesday,9
2025-09-16,6,3a-1,state highway,two-way road with no physical separation,dry,clear,daylight,0,0,1,0,0,False,2,straight,on roadway,Sideswipe,violations,driver condition,30.4837039739797,-91.08939711335,tuesday,9
